"","train","test"
"Accuracy","0.946214219759926","0.952"
"Kappa","0.882969988041409","0.845360824742268"
"AccuracyLower","0.941254116947697","0.917655370912285"
"AccuracyUpper","0.950871473499468","0.974955003076054"
"AccuracyNull","0.62072945521699","0.8"
"AccuracyPValue","0","4.18187009373609e-12"
"McnemarPValue","8.91352211594477e-78","0.386476230771233"
"Sensitivity","0.867620206938527","0.84"
"Specificity","0.994235775381183","0.98"
"Pos Pred Value","0.989243580846634","0.91304347826087"
"Neg Pred Value","0.924766516776202","0.96078431372549"
"Precision","0.989243580846634","0.91304347826087"
"Recall","0.867620206938527","0.84"
"F1","0.924448767833982","0.875"
"Prevalence","0.37927054478301","0.2"
"Detection Rate","0.329062788550323","0.168"
"Detection Prevalence","0.33264081255771","0.184"
"Balanced Accuracy","0.930927991159855","0.91"
"positive","1","1"
"th","0.3954","0.3954"
"RMSE","0.23191761520004","0.219089023002066"
"fbeta","0.5","0.5"
"fscore","0.962265424598353","0.897435897435897"
"f050","0.962265424598353","0.897435897435897"
"f075","0.941719736807336","0.885328836424958"
"f100","0.924448767833982","0.875"
"auc","0.994878228449034","0.984"
