"","train","test"
"Accuracy","0.935480147737765","0.924"
"Kappa","0.791098559939379","0.723032069970845"
"AccuracyLower","0.930101246293256","0.883859473363218"
"AccuracyUpper","0.940563863563846","0.953624762334827"
"AccuracyNull","0.780124653739612","0.8"
"AccuracyPValue","0","4.69292730798911e-08"
"McnemarPValue","1.80575987122628e-110","3.63579552029954e-05"
"Sensitivity","0.714435695538058","0.62"
"Specificity","0.997780736795384","1"
"Pos Pred Value","0.989098837209302","1"
"Neg Pred Value","0.925356750823271","0.91324200913242"
"Precision","0.989098837209302","1"
"Recall","0.714435695538058","0.62"
"F1","0.829625114294422","0.765432098765432"
"Prevalence","0.219875346260388","0.2"
"Detection Rate","0.157086795937211","0.124"
"Detection Prevalence","0.15881809787627","0.124"
"Balanced Accuracy","0.856108216166721","0.81"
"positive","1","1"
"th","0.9113","0.9113"
"RMSE","0.25400758308018","0.275680975041804"
"fbeta","0.5","0.5"
"fscore","0.918477527331624","0.890804597701149"
"f050","0.918477527331624","0.890804597701149"
"f075","0.868849110084012","0.819238900634249"
"f100","0.829625114294422","0.765432098765432"
"auc","0.991591885457283","0.9588"
