"","train","test"
"Accuracy","0.98303324099723","0.952"
"Kappa","0.953959048681927","0.837837837837838"
"AccuracyLower","0.980087865235852","0.917655370912285"
"AccuracyUpper","0.985646971788493","0.974955003076054"
"AccuracyNull","0.755309325946445","0.8"
"AccuracyPValue","0","4.18187009373609e-12"
"McnemarPValue","0.137645845518265","0.00937476845943488"
"Sensitivity","0.960849056603774","0.78"
"Specificity","0.990220048899755","0.995"
"Pos Pred Value","0.969538315088053","0.975"
"Neg Pred Value","0.987353344507085","0.947619047619048"
"Precision","0.969538315088053","0.975"
"Recall","0.960849056603774","0.78"
"F1","0.965174129353234","0.866666666666667"
"Prevalence","0.244690674053555","0.2"
"Detection Rate","0.2351108033241","0.156"
"Detection Prevalence","0.242497691597415","0.16"
"Balanced Accuracy","0.975534552751764","0.8875"
"positive","1","1"
"th","0.7416","0.7416"
"RMSE","0.130256512323838","0.219089023002066"
"fbeta","0.5","0.5"
"fscore","0.967787913340935","0.928571428571429"
"f050","0.967787913340935","0.928571428571429"
"f075","0.966392136025505","0.894495412844037"
"f100","0.965174129353234","0.866666666666667"
"auc","0.996387083660101","0.9388"
