"","train","test"
"Accuracy","0.965373961218837","0.936"
"Kappa","0.801370142521049","0.776536312849162"
"AccuracyLower","0.961306638655733","0.898146969385651"
"AccuracyUpper","0.969124277382632","0.962979261768931"
"AccuracyNull","0.88769621421976","0.8"
"AccuracyPValue","1.2625012959922e-153","1.28041441040664e-09"
"McnemarPValue","2.23894759697168e-58","0.00115405008478153"
"Sensitivity","0.701952723535457","0.7"
"Specificity","0.998699778962424","0.995"
"Pos Pred Value","0.985569985569985","0.972222222222222"
"Neg Pred Value","0.963618115669301","0.929906542056075"
"Precision","0.985569985569986","0.972222222222222"
"Recall","0.701952723535457","0.7"
"F1","0.819927971188475","0.813953488372093"
"Prevalence","0.11230378578024","0.2"
"Detection Rate","0.0788319482917821","0.14"
"Detection Prevalence","0.0799861495844875","0.144"
"Balanced Accuracy","0.85032625124894","0.8475"
"positive","1","1"
"th","0.9484","0.9484"
"RMSE","0.186080731891197","0.25298221281347"
"fbeta","0.5","0.5"
"fscore","0.911882510013351","0.902061855670103"
"f050","0.911882510013351","0.902061855670103"
"f075","0.860418241370622","0.852826510721247"
"f100","0.819927971188475","0.813953488372093"
"auc","0.995646865311399","0.9836"
