"","train","test"
"Accuracy","0.97449215143121","0.968"
"Kappa","0.750138844811171","0.895287958115183"
"AccuracyLower","0.970950748205416","0.93792330262513"
"AccuracyUpper","0.977709350089282","0.986085388451256"
"AccuracyNull","0.956140350877193","0.8"
"AccuracyPValue","1.28227676428377e-19","3.50733857703449e-15"
"McnemarPValue","5.85017210616537e-31","0.077099871743542"
"Sensitivity","0.936842105263158","0.86"
"Specificity","0.976219217769194","0.995"
"Pos Pred Value","0.64376130198915","0.977272727272727"
"Neg Pred Value","0.997041055356923","0.966019417475728"
"Precision","0.64376130198915","0.977272727272727"
"Recall","0.936842105263158","0.86"
"F1","0.763129689174705","0.914893617021277"
"Prevalence","0.043859649122807","0.2"
"Detection Rate","0.0410895660203139","0.172"
"Detection Prevalence","0.0638273314866113","0.176"
"Balanced Accuracy","0.956530661516176","0.9275"
"positive","1","1"
"th","0.1701","0.1701"
"RMSE","0.159711767158185","0.178885438199983"
"fbeta","1","1"
"fscore","0.763129689174705","0.914893617021277"
"f050","0.686728395061728","0.951327433628319"
"f075","0.725464623410499","0.931542461005199"
"f100","0.763129689174705","0.914893617021277"
"auc","0.99120244478894","0.9802"
