"","train","test"
"Accuracy","0.950715604801477","0.952"
"Kappa","0.893056170480732","0.847715736040609"
"AccuracyLower","0.945946075064511","0.917655370912285"
"AccuracyUpper","0.95517902851107","0.974955003076054"
"AccuracyNull","0.62072945521699","0.8"
"AccuracyPValue","0","4.18187009373609e-12"
"McnemarPValue","3.05574395020572e-67","0.772829992684448"
"Sensitivity","0.880401704199635","0.86"
"Specificity","0.993677947192265","0.975"
"Pos Pred Value","0.988384010932696","0.895833333333333"
"Neg Pred Value","0.931497298239498","0.965346534653465"
"Precision","0.988384010932696","0.895833333333333"
"Recall","0.880401704199635","0.86"
"F1","0.931273136970867","0.877551020408163"
"Prevalence","0.37927054478301","0.2"
"Detection Rate","0.333910433979686","0.172"
"Detection Prevalence","0.337834718374885","0.192"
"Balanced Accuracy","0.93703982569595","0.9175"
"positive","1","1"
"th","0.3519","0.3519"
"RMSE","0.222000890084978","0.219089023002066"
"fbeta","1","1"
"fscore","0.931273136970867","0.877551020408163"
"f050","0.964719221021742","0.888429752066116"
"f075","0.946587964295998","0.882594417077176"
"f100","0.931273136970867","0.877551020408163"
"auc","0.994878228449034","0.984"
