"","train","test"
"Accuracy","0.981301939058172","0.944"
"Kappa","0.90263689657397","0.819587628865979"
"AccuracyLower","0.978224673362917","0.907825733673323"
"AccuracyUpper","0.984049159419928","0.969049595380838"
"AccuracyNull","0.88769621421976","0.8"
"AccuracyPValue","3.47648251115298e-246","8.46307361879968e-11"
"McnemarPValue","1.96616044154289e-10","0.422678074170635"
"Sensitivity","0.874614594039055","0.82"
"Specificity","0.994799115849694","0.975"
"Pos Pred Value","0.955106621773289","0.891304347826087"
"Neg Pred Value","0.984304644281487","0.955882352941176"
"Precision","0.955106621773288","0.891304347826087"
"Recall","0.874614594039055","0.82"
"F1","0.913090128755365","0.854166666666667"
"Prevalence","0.11230378578024","0.2"
"Detection Rate","0.0982225300092336","0.164"
"Detection Prevalence","0.102839335180055","0.184"
"Balanced Accuracy","0.934706854944374","0.8975"
"positive","1","1"
"th","0.8306","0.8306"
"RMSE","0.136740853229122","0.236643191323985"
"fbeta","0.75","0.75"
"fscore","0.924477469256507","0.86424957841484"
"f050","0.937844390566454","0.876068376068376"
"f075","0.924477469256507","0.86424957841484"
"f100","0.913090128755365","0.854166666666667"
"auc","0.995646865311399","0.9836"
