"","train","test"
"Accuracy","0.957409972299169","0.932"
"Kappa","0.868437959405186","0.768392370572207"
"AccuracyLower","0.952943748145115","0.893356163958629"
"AccuracyUpper","0.961565180197915","0.959891505084629"
"AccuracyNull","0.780124653739612","0.8"
"AccuracyPValue","0","4.51453521727674e-09"
"McnemarPValue","2.82179239805071e-54","0.0152933710301989"
"Sensitivity","0.824671916010499","0.72"
"Specificity","0.994821719189229","0.985"
"Pos Pred Value","0.978206724782067","0.923076923076923"
"Neg Pred Value","0.952677812411448","0.933649289099526"
"Precision","0.978206724782067","0.923076923076923"
"Recall","0.824671916010499","0.72"
"F1","0.894901737396753","0.808988764044944"
"Prevalence","0.219875346260388","0.2"
"Detection Rate","0.181325023084026","0.144"
"Detection Prevalence","0.185364727608495","0.156"
"Balanced Accuracy","0.909746817599864","0.8525"
"positive","1","1"
"th","0.8295","0.8295"
"RMSE","0.20637351501787","0.260768096208106"
"fbeta","0.75","0.75"
"fscore","0.91676198034593","0.837988826815642"
"f050","0.943090407011646","0.87378640776699"
"f075","0.91676198034593","0.837988826815642"
"f100","0.894901737396753","0.808988764044944"
"auc","0.991591885457283","0.9588"
