"","train","test"
"Accuracy","0.967566943674977","0.904"
"Kappa","0.905584196677795","0.720930232558139"
"AccuracyLower","0.963618356228583","0.860530523046506"
"AccuracyUpper","0.971196835178176","0.937518515781795"
"AccuracyNull","0.780124653739612","0.8"
"AccuracyPValue","0","6.53004554362946e-06"
"McnemarPValue","0.720395705452766","0.0661925797221934"
"Sensitivity","0.928083989501312","0.86"
"Specificity","0.978695073235686","0.915"
"Pos Pred Value","0.924686192468619","0.716666666666667"
"Neg Pred Value","0.97970971563981","0.963157894736842"
"Precision","0.924686192468619","0.716666666666667"
"Recall","0.928083989501312","0.86"
"F1","0.92638197537333","0.781818181818182"
"Prevalence","0.219875346260388","0.2"
"Detection Rate","0.204062788550323","0.172"
"Detection Prevalence","0.220683287165282","0.24"
"Balanced Accuracy","0.953389531368499","0.8875"
"positive","1","1"
"th","0.6194","0.6194"
"RMSE","0.180091799716209","0.309838667696593"
"fbeta","1.5","1.5"
"fscore","0.927035856895091","0.810144927536232"
"f050","0.925363760075369","0.741379310344828"
"f075","0.925906529526363","0.76241134751773"
"f100","0.92638197537333","0.781818181818182"
"auc","0.991591885457283","0.9588"
