"","train","test"
"Accuracy","0.96814404432133","0.924"
"Kappa","0.905539379330695","0.760705289672544"
"AccuracyLower","0.964227439258689","0.883859473363218"
"AccuracyUpper","0.971741505162587","0.953624762334827"
"AccuracyNull","0.780124653739612","0.8"
"AccuracyPValue","0","4.69292730798911e-08"
"McnemarPValue","8.45353581404568e-08","1"
"Sensitivity","0.903937007874016","0.8"
"Specificity","0.98624056813138","0.955"
"Pos Pred Value","0.948760330578513","0.816326530612245"
"Neg Pred Value","0.973280770915462","0.950248756218905"
"Precision","0.948760330578512","0.816326530612245"
"Recall","0.903937007874016","0.8"
"F1","0.925806451612903","0.808080808080808"
"Prevalence","0.219875346260388","0.2"
"Detection Rate","0.198753462603878","0.16"
"Detection Prevalence","0.209487534626039","0.196"
"Balanced Accuracy","0.945088788002698","0.8775"
"positive","1","1"
"th","0.6987","0.6987"
"RMSE","0.178482367976981","0.275680975041804"
"fbeta","1.25","1.25"
"fscore","0.920915672079828","0.806293018682399"
"f050","0.939443535188216","0.813008130081301"
"f075","0.932120818447548","0.810372771474879"
"f100","0.925806451612903","0.808080808080808"
"auc","0.991591885457283","0.9588"
